RL,Jugador,País,Posc,Posc 2,Equipo,Edad,Rango Etario,Minutos,PenEjec,Goles/90,Ast/90,G+a/90,ACT.ACT,ACT.SCA90,PassLive,PassDead,HASTA,TiroalTiro,FaltRecib,ACG.ACG,ACG.GCA90,Toques,3. Ataq,Ataq.Pen,Ataq.Pen.PORC,3.Ataq.PORC,Tomas.Balónvivo,Att,Exitosa.PORC,Dist. tot.,Dist. Prg,Rec,PrgR,TiPas.Balónvivo,PL,Camb,PA,Bloqueos,Goles,Disp,PORC de TT,TalArc/90,G/T,DistDisp,Cmp,Total.Intent,Total.Cmp.PORC,Cortos.Cmp,Cortos.Intent,Cortos.Cmp.PORC,Derribos.Tkl,Derribos.TklG,Desafio.Tkl,Desafio.Tkl.PORC,Bloqueos.1,Tkl+Int,Penal concedido,Recup.,Aer.Ganados,Aer.Ganados.PORC
192,LYLE FOSTER,RSA,DL,CC,Burnley,22,Promesa,1899,0,0.24,0.14,0.38,41,1.95,35,0,2,3,1,4,0.19,692,321,93,0.13,0.46,692,39,48.7,2464,1278,479,104,430,3,5,2,16,5,34,47.1,0.76,0.15,14.6,312,461,67.7,197,268,73.5,19,10,6,35.3,13,22,0,51,50,32.1
193,MATHEUS FRANÇA,BRA,CC,DL,Crystal Palace,19,Promesa,232,0,0,0.39,0.39,8,3.1,4,3,0,0,1,2,0.78,119,51,9,0.08,0.43,119,14,28.6,722,372,73,12,69,0,1,0,5,0,8,25,0.78,0,21.8,51,79,64.6,20,29,69,3,3,1,14.3,4,4,0,17,1,16.7
194,NATHAN FRASER,IRL,DL,DL,Wolverhampton,18,Filial,186,0,0,0,0,6,2.92,5,0,0,1,0,0,0,62,25,5,0.08,0.4,62,0,0,88,22,39,21,39,0,0,0,3,0,3,66.7,0.97,0,16.6,33,42,78.6,24,27,88.9,5,2,1,33.3,2,6,0,8,3,25
195,CODY GAKPO,NED,DL,CC,Liverpool,24,Promesa,1649,0,0.44,0.27,0.71,73,3.98,47,1,6,12,5,10,0.55,809,412,107,0.13,0.51,809,54,57.4,3003,1472,618,130,547,1,2,2,15,8,66,36.4,1.31,0.12,15.4,436,564,77.3,266,315,84.4,27,17,8,32,21,41,0,81,32,54.2
196,CONOR GALLAGHER,ENG,CC,CC,Chelsea,23,Promesa,3128,0,0.14,0.2,0.35,109,3.14,78,15,5,4,1,14,0.4,2443,793,79,0.03,0.33,2443,65,58.5,7243,2979,1739,122,1889,5,7,7,29,5,48,35.4,0.49,0.1,20.4,1801,2018,89.2,1054,1116,94.4,85,52,33,42.9,50,128,0,221,25,47.2
197,IDRISSA GANA GUEYE,SEN,CC,CC,Everton,33,Veterano,1884,0,0.19,0,0.19,52,2.48,37,0,0,5,4,4,0.19,1126,252,21,0.02,0.22,1126,25,44,2976,1431,670,41,882,2,6,3,14,4,26,26.9,0.33,0.15,22.2,758,898,84.4,384,428,89.7,73,44,29,63,24,101,0,174,13,59.1
198,ALEJANDRO GARNACHO,ARG,DL,DL,Manchester United,19,Promesa,2565,0,0.25,0.14,0.39,119,4.17,80,0,13,13,12,15,0.53,1312,741,248,0.19,0.57,1312,131,36.6,8015,4211,1006,281,885,2,4,3,50,7,100,27,0.95,0.07,15.8,675,901,74.9,422,506,83.4,22,15,12,26.7,26,40,0,106,6,19.4
199,JAMES GARNER,ENG,CC,CC,Everton,22,Promesa,3004,0,0.03,0.06,0.09,98,2.94,58,22,3,6,4,8,0.24,1610,549,41,0.03,0.34,1610,41,46.3,3856,1657,857,76,1082,4,6,7,28,1,41,24.4,0.3,0.02,22.1,958,1244,77,464,536,86.6,83,44,35,42.7,45,128,0,172,23,48.9
200,SAMAN GHODDOS,IRN,DF,DF,Brentford,29,Maduro,739,0,0.12,0,0.12,20,2.44,10,5,1,0,3,0,0,542,184,10,0.02,0.34,542,13,23.1,1389,717,313,31,370,0,3,4,8,1,9,22.2,0.24,0.11,22.5,325,448,72.5,164,187,87.7,28,19,17,54.8,9,33,0,39,4,25
201,MORGAN GIBBS-WHITE,ENG,CC,DL,Nottingham Forest,23,Promesa,3156,1,0.14,0.29,0.43,149,4.25,86,38,9,7,8,18,0.51,1876,801,103,0.06,0.43,1875,115,38.3,5636,2889,1234,181,1255,17,17,11,30,5,70,18.6,0.37,0.06,19.8,1045,1480,70.6,499,609,81.9,36,24,14,42.4,31,53,0,179,60,46.9
202,BRYAN GIL,ESP,DL,CC,Tottenham Hotspur,22,Promesa,209,0,0,0,0,9,3.88,8,0,0,1,0,1,0.43,191,101,18,0.09,0.53,191,11,72.7,746,340,155,49,155,0,0,0,7,0,4,25,0.43,0,13.9,127,157,80.9,69,81,85.2,1,0,1,25,3,4,0,16,0,0
203,ALFIE GILCHRIST,ENG,DF,DF,Chelsea,19,Promesa,207,0,0.43,0,0.43,3,1.31,2,1,0,0,0,0,0,177,49,5,0.03,0.28,177,1,100,263,130,96,4,121,0,0,1,0,1,5,20,0.43,0.2,13.5,121,141,85.8,63,73,86.3,4,0,2,40,6,7,0,9,2,33.3
204,BILLY GILMOUR,SCO,CC,CC,Brighton,22,Promesa,2120,0,0,0.04,0.04,69,2.93,59,5,0,2,3,6,0.25,2277,417,12,0.01,0.18,2277,23,34.8,6287,3120,1871,33,2036,9,8,7,15,0,25,20,0.21,0,25.4,1915,2107,90.9,1049,1093,96,26,16,11,31.4,23,37,0,132,11,35.5
205,BEN GODFREY,ENG,DF,DF,Everton,25,Maduro,1120,0,0,0,0,17,1.37,9,1,0,5,0,3,0.24,655,172,19,0.03,0.26,655,14,35.7,1158,571,283,26,363,0,1,3,20,0,15,20,0.24,0,12,336,484,69.4,147,180,81.7,30,20,15,53.6,14,46,1,45,25,51
206,ANDRÉ GOMES,POR,CC,DL,Everton,30,Maduro,508,0,0.18,0,0.18,18,3.18,13,0,1,2,1,1,0.18,352,121,11,0.03,0.34,352,12,25,868,333,232,29,257,4,3,2,7,1,8,50,0.71,0.13,22.4,223,291,76.6,112,132,84.8,7,4,3,23.1,10,10,0,34,1,11.1
207,JOÃO GOMES,BRA,CC,CC,Wolverhampton,22,Promesa,2649,0,0.07,0.03,0.1,65,2.21,48,4,2,4,2,4,0.14,1626,352,35,0.02,0.22,1626,55,47.3,3929,1772,1010,44,1209,7,5,8,32,2,26,26.9,0.24,0.08,18.5,1051,1279,82.2,596,665,89.6,128,74,44,44.4,51,146,2,183,18,41.9
208,TOTI GOMES,POR,DF,DF,Wolverhampton,24,Promesa,2772,0,0.03,0.1,0.13,21,0.68,16,1,1,3,0,4,0.13,2109,169,22,0.01,0.08,2109,31,74.2,4427,2325,1394,11,1685,1,5,4,22,1,10,50,0.16,0.1,9.9,1516,1847,82.1,782,859,91,44,25,24,64.9,40,70,0,136,56,65.1
209,JOE GOMEZ,ENG,DF,DF,Liverpool,26,Maduro,1786,0,0,0.05,0.05,51,2.57,43,0,1,4,3,5,0.25,1564,375,28,0.02,0.24,1564,32,46.9,4686,2313,979,105,1172,3,9,4,29,0,19,10.5,0.1,0,19.9,1114,1345,82.8,519,574,90.4,47,31,30,47.6,26,66,0,111,31,75.6
212,ANTHONY GORDON,ENG,DL,DL,Newcastle United,22,Promesa,2890,1,0.34,0.31,0.65,143,4.45,86,18,13,11,13,29,0.9,1424,733,147,0.1,0.52,1423,133,40.6,7622,3668,1026,232,963,8,11,2,33,11,80,36.3,0.9,0.13,17.3,803,1055,76.1,486,559,86.9,55,34,22,34.4,27,62,0,125,9,34.6
215,RYAN GRAVENBERCH,NED,CC,CC,Liverpool,21,Promesa,1121,0,0.08,0,0.08,44,3.54,36,0,2,6,0,0,0,696,272,42,0.06,0.39,696,50,46,2458,1369,472,71,492,4,2,3,14,1,23,34.8,0.64,0.04,20.6,415,504,82.3,263,302,87.1,26,12,12,41.4,20,40,0,74,10,41.7
217,JACK GREALISH,ENG,DL,CC,Manchester City,27,Maduro,1009,0,0.27,0.09,0.36,54,4.82,46,0,1,2,5,4,0.36,697,443,82,0.12,0.64,697,41,43.9,4025,2080,578,146,560,3,2,1,21,3,22,22.7,0.45,0.14,16.1,499,580,86,302,329,91.8,13,8,6,50,13,19,0,42,3,42.9
218,PASCAL GROß,GER,CC,DF,Brighton,32,Veterano,3114,1,0.12,0.29,0.4,185,5.35,114,54,5,9,2,16,0.46,3534,1050,70,0.02,0.3,3533,30,53.3,10055,5189,2736,180,2903,5,16,11,41,4,54,33.3,0.52,0.06,19.8,2774,3223,86.1,1583,1674,94.6,70,46,31,43.1,41,92,1,144,14,45.2
219,MARC GUÉHI,ENG,DF,DF,Crystal Palace,23,Promesa,2021,0,0,0.04,0.04,22,0.98,17,0,0,2,2,2,0.09,1501,67,12,0.01,0.05,1501,13,53.8,4190,2201,1011,7,1251,1,18,2,5,0,5,0,0,0,9.7,1138,1309,86.9,363,403,90.1,28,19,14,58.3,22,46,0,120,29,50
220,BRUNO GUIMARÃES,BRA,CC,CC,Newcastle United,25,Maduro,3263,0,0.19,0.22,0.41,143,3.94,110,8,10,3,6,19,0.52,2734,722,75,0.03,0.26,2734,132,54.5,10297,4241,2107,73,2186,26,27,12,31,7,48,33.3,0.44,0.15,17.8,1941,2313,83.9,915,1011,90.5,88,53,40,51.9,52,123,0,237,18,43.9
221,MALO GUSTO,FRA,DF,DF,Chelsea,20,Promesa,1751,0,0,0.31,0.31,52,2.67,47,2,1,0,0,7,0.36,1641,499,49,0.03,0.3,1641,42,40.5,5376,2791,1103,135,1244,2,0,3,29,0,15,33.3,0.26,0,18.2,1230,1423,86.4,761,829,91.8,55,27,35,67.3,28,72,1,126,8,29.6
222,JOŠKO GVARDIOL,CRO,DF,DF,Manchester City,21,Promesa,2328,0,0.15,0.04,0.19,54,2.09,40,1,5,2,4,7,0.27,2179,622,60,0.03,0.29,2179,45,57.8,6099,3249,1529,115,1737,3,10,4,38,4,32,40.6,0.5,0.13,15.6,1671,1919,87.1,931,1010,92.2,55,33,21,55.3,36,82,0,150,31,56.4
223,ERLING HAALAND,NOR,DL,DL,Manchester City,23,Promesa,2552,7,0.95,0.18,1.13,59,2.08,39,0,3,10,6,11,0.39,636,398,183,0.29,0.63,628,30,40,1628,728,489,126,375,2,0,1,17,27,113,44.2,1.76,0.18,11.9,295,388,76,197,242,81.4,6,3,2,66.7,11,8,0,47,39,48.1
225,LEWIS HALL,ENG,DF,DF,Newcastle United,18,Filial,781,0,0.12,0,0.12,20,2.3,14,1,3,1,1,3,0.35,668,137,12,0.02,0.21,668,18,50,1783,1035,400,27,474,0,2,2,12,1,11,36.4,0.46,0.09,20.8,452,552,81.9,229,248,92.3,28,18,17,60.7,17,40,0,56,10,47.6
226,GUSTAVO HAMER,NED,CC,CC,Sheffield United,26,Maduro,2910,0,0.12,0.19,0.31,116,3.59,73,22,10,7,4,12,0.37,1402,485,44,0.03,0.35,1402,58,48.3,3307,1568,760,86,945,5,9,5,27,4,49,26.5,0.4,0.08,23.5,754,1102,68.4,371,449,82.6,39,21,16,27.1,33,68,1,162,6,27.3
228,JACK HARRISON,ENG,CC,DL,Everton,26,Maduro,2214,0,0.12,0.12,0.24,66,2.68,46,2,3,7,6,7,0.28,935,445,59,0.06,0.48,935,75,38.7,3250,1546,580,135,608,4,0,6,32,3,34,26.5,0.37,0.09,17.8,409,631,64.8,243,291,83.5,37,22,17,34.7,25,49,0,129,10,34.5
229,DAIKI HASHIOKA,JPN,DF,DF,Luton Town,24,Promesa,595,0,0,0,0,8,1.21,8,0,0,0,0,0,0,355,55,2,0.01,0.16,355,2,50,799,303,206,16,264,0,2,0,7,0,2,0,0,0,18.1,227,282,80.5,101,108,93.5,11,5,5,45.5,12,19,0,26,12,50
230,KAI HAVERTZ,GER,CC,DL,Arsenal,24,Promesa,2634,1,0.44,0.24,0.68,106,3.62,87,0,3,8,6,22,0.75,1282,611,184,0.14,0.48,1281,42,38.1,3077,1532,918,191,938,2,0,5,16,13,68,39.7,0.92,0.18,12.4,764,955,80,525,609,86.2,35,15,14,35.9,26,55,0,122,102,50.2
231,JAN PAUL VAN HECKE,NED,DF,DF,Brighton,23,Promesa,2369,0,0,0,0,37,1.41,35,0,0,1,0,3,0.11,2668,157,20,0.01,0.06,2668,9,55.6,10198,6274,2080,7,2344,3,6,6,4,0,15,40,0.23,0,11.3,2225,2415,92.1,939,991,94.8,47,26,27,60,49,77,1,130,66,66
232,HWANG HEE-CHAN,KOR,DL,CC,Wolverhampton,27,Maduro,2119,1,0.51,0.13,0.64,48,2.04,29,0,8,6,4,9,0.38,777,344,103,0.13,0.44,776,69,52.2,2586,999,564,120,508,3,3,0,23,12,44,38.6,0.72,0.25,12.2,424,551,77,256,312,82.1,20,10,9,37.5,19,30,1,75,7,13.7
234,RICO HENRY,ENG,DF,DF,Brentford,26,Maduro,401,0,0,0.22,0.22,13,2.92,10,0,3,0,0,3,0.67,227,59,7,0.03,0.26,227,10,70,698,372,126,12,165,0,3,1,4,0,2,0,0,0,19.2,147,183,80.3,82,94,87.2,7,5,6,85.7,8,12,0,24,4,44.4
235,SON HEUNG-MIN,KOR,DL,DL,Tottenham Hotspur,31,Veterano,2934,2,0.52,0.31,0.83,129,3.96,108,0,11,6,3,17,0.52,1354,823,212,0.16,0.61,1352,92,42.4,5688,2989,1100,325,996,17,2,4,36,17,83,45.8,1.17,0.18,15.5,887,1075,82.5,531,609,87.2,21,13,10,47.6,4,29,1,80,5,23.8
236,AARON HICKEY,SCO,DF,DF,Brentford,21,Promesa,713,0,0,0,0,7,0.88,6,0,0,0,1,0,0,356,76,7,0.02,0.21,356,14,35.7,1107,505,225,13,254,1,3,0,7,0,7,14.3,0.13,0,25.3,243,277,87.7,134,140,95.7,16,9,7,100,7,19,0,42,1,10
238,JACK HINSHELWOOD,ENG,DF,DF,Brighton,18,Filial,869,0,0.31,0,0.31,14,1.45,11,0,0,3,0,0,0,590,143,30,0.05,0.24,590,5,0,1598,726,381,38,431,0,3,0,4,3,14,57.1,0.83,0.21,9.2,418,498,83.9,233,267,87.3,14,5,5,38.5,6,28,1,33,7,46.7
239,MASON HOLGATE,ENG,DF,DF,Sheffield United,26,Maduro,710,0,0,0,0,4,0.51,2,1,0,1,0,0,0,296,35,3,0.01,0.12,296,2,50,356,159,105,0,169,0,1,1,2,0,3,0,0,0,6.5,138,211,65.4,65,83,78.3,12,7,5,41.7,12,23,1,30,9,56.3
240,CALLUM HUDSON-ODOI,ENG,DL,CC,Nottingham Forest,22,Promesa,1854,0,0.39,0.05,0.44,82,3.98,63,4,8,4,2,6,0.29,930,523,77,0.08,0.56,930,80,53.8,5044,3054,701,171,705,3,8,4,17,8,38,52.6,0.97,0.21,18.3,574,736,78,325,359,90.5,18,8,7,25,16,25,0,98,2,22.2
241,WILL HUGHES,ENG,CC,CC,Crystal Palace,28,Maduro,1891,0,0,0.05,0.05,48,2.29,34,9,1,0,2,5,0.24,1094,219,15,0.01,0.2,1094,15,60,1931,900,609,17,806,2,1,1,13,0,8,37.5,0.14,0,18.3,731,878,83.3,389,436,89.2,61,33,24,50,36,82,0,121,12,41.4
242,PIERRE HØJBJERG,DEN,CC,CC,Tottenham Hotspur,27,Maduro,1311,0,0,0,0,39,2.68,36,0,2,1,0,2,0.14,1585,310,16,0.01,0.2,1585,23,52.2,4237,1820,1230,29,1364,2,12,10,14,0,19,31.6,0.41,0,26.5,1234,1415,87.2,652,718,90.8,32,18,13,38.2,21,51,0,121,8,38.1
243,RASMUS HØJLUND,DEN,DL,DL,Manchester United,20,Promesa,2158,0,0.42,0.08,0.5,58,2.42,43,0,5,4,3,4,0.17,612,297,96,0.16,0.49,612,38,47.4,2100,1101,429,111,369,1,0,3,16,10,38,52.6,0.83,0.26,11.6,304,402,75.6,199,247,80.6,11,7,5,38.5,9,12,1,60,25,27.8
244,IGOR,BRA,DF,DF,Brighton,25,Maduro,1637,0,0,0,0,25,1.38,21,2,1,0,0,2,0.11,1651,141,7,0,0.09,1651,22,72.7,5334,2867,1205,12,1388,2,3,4,13,0,5,0,0,0,21,1398,1497,93.4,714,742,96.2,25,18,17,58.6,22,39,0,105,26,68.4
245,DANNY INGS,ENG,DL,DL,West Ham United,31,Veterano,404,0,0.22,0,0.22,17,3.79,8,0,3,4,1,3,0.67,165,79,24,0.15,0.48,165,13,46.2,381,129,107,29,100,0,0,1,6,1,12,33.3,0.89,0.08,13.4,76,107,71,40,50,80,6,2,4,30.8,4,9,0,12,3,25
246,TIM IROEGBUNAM,ENG,CC,CC,Aston Villa,20,Promesa,164,0,0,0,0,0,0,0,0,0,0,0,0,0,79,8,0,0,0.1,79,7,42.9,222,115,38,0,54,0,0,0,1,0,0,0,0,0,0,51,55,92.7,30,31,96.8,7,5,4,44.4,3,9,0,15,1,100
247,ALEXANDER ISAK,SWE,DL,DL,Newcastle United,23,Promesa,2255,5,0.84,0.08,0.92,72,2.87,45,0,12,11,4,10,0.4,725,387,139,0.19,0.53,720,74,56.8,3052,1613,511,129,428,5,2,3,21,21,72,50,1.44,0.22,14.5,385,493,78.1,237,280,84.6,5,0,2,25,16,11,0,38,10,20.4
248,ALEX IWOBI,NGA,CC,CC,Everton,27,Maduro,140,0,0,0,0,12,7.77,6,1,2,3,0,0,0,58,38,3,0.05,0.66,58,4,75,316,221,34,8,34,0,0,1,2,0,4,50,1.29,0,16.2,27,42,64.3,13,14,92.9,2,0,2,66.7,2,3,0,5,0,0
249,ALEX IWOBI,NGA,DL,CC,Fulham,27,Maduro,2192,0,0.21,0.08,0.29,103,4.23,87,0,6,9,0,10,0.41,1282,537,81,0.06,0.42,1282,72,51.4,5856,2979,1004,175,1029,6,7,1,32,5,51,35.3,0.74,0.1,18.5,821,1051,78.1,400,451,88.7,29,18,12,48,16,43,0,145,6,24
250,NICOLAS JACKSON,SEN,DL,DL,Chelsea,22,Promesa,2799,0,0.45,0.16,0.61,95,3.05,60,1,18,8,6,11,0.35,998,480,151,0.15,0.48,998,105,51.4,4579,2122,752,200,613,11,0,1,25,14,80,47.5,1.22,0.18,12.6,515,666,77.3,323,386,83.7,21,13,5,20.8,20,25,0,98,35,35.7
251,REECE JAMES,ENG,DF,DF,Chelsea,23,Promesa,419,0,0,0.43,0.43,15,3.22,13,1,0,1,0,3,0.64,391,124,20,0.05,0.32,391,15,60,1061,548,245,35,284,4,2,0,5,0,7,14.3,0.21,0,20.9,275,341,80.6,144,163,88.3,14,9,8,80,4,17,0,28,8,61.5
252,VITALY JANELT,GER,CC,DF,Brentford,25,Maduro,3054,0,0.03,0.09,0.12,80,2.36,69,2,1,3,3,4,0.12,1703,437,72,0.04,0.26,1703,18,44.4,3559,1558,1053,81,1345,4,12,4,26,1,21,33.3,0.21,0.05,18,1088,1398,77.8,579,666,86.9,63,38,32,50,35,99,0,189,34,56.7
254,MATHIAS JENSEN,DEN,CC,CC,Brentford,27,Maduro,2204,0,0.12,0.12,0.25,87,3.55,48,35,0,0,3,8,0.33,1440,475,21,0.02,0.33,1440,44,40.9,2961,1265,768,66,924,8,25,6,24,3,14,50,0.29,0.21,26.7,875,1202,72.8,362,423,85.6,54,32,26,27.4,41,77,0,123,5,31.3
255,GABRIEL JESUS,BRA,DL,DL,Arsenal,26,Maduro,1478,0,0.24,0.3,0.55,59,3.59,37,1,9,5,3,8,0.49,782,472,139,0.18,0.6,782,75,46.7,2654,1146,567,155,482,8,2,8,18,4,55,34.5,1.16,0.07,12.2,403,513,78.6,259,306,84.6,24,17,5,27.8,23,37,0,59,15,28.3
256,RAÚL JIMÉNEZ,MEX,DL,DL,Fulham,32,Veterano,1395,0,0.45,0,0.45,27,1.74,15,0,4,6,1,3,0.19,567,240,67,0.12,0.42,567,24,41.7,1407,453,442,87,370,4,3,1,13,7,41,41.5,1.1,0.17,14.7,262,382,68.6,162,201,80.6,18,12,7,35,11,22,0,43,44,42.7
257,JOÃO PEDRO,BRA,DL,CC,Brighton,21,Promesa,2045,4,0.4,0.13,0.53,91,4.01,64,0,7,10,9,11,0.48,1196,629,184,0.15,0.53,1191,107,40.2,5003,2295,949,205,775,6,2,5,26,9,70,28.6,0.88,0.07,14.4,659,818,80.6,425,483,88,31,14,14,58.3,15,42,0,65,41,65.1
258,JOELINTON,BRA,CC,DL,Newcastle United,26,Maduro,1279,0,0.14,0.07,0.21,47,3.3,37,0,6,4,0,3,0.21,808,253,38,0.05,0.31,808,35,48.6,2141,1061,583,60,600,3,2,2,18,2,19,36.8,0.49,0.11,15.5,524,627,83.6,312,350,89.1,39,27,14,36.8,23,58,0,85,18,36.7
259,RYAN JOHN GILES,ENG,DF,CC,Luton Town,23,Promesa,503,0,0,0,0,12,2.15,8,3,1,0,0,0,0,273,119,4,0.02,0.44,273,8,50,517,241,129,30,157,0,0,0,8,0,2,100,0.36,0,14.2,140,218,64.2,74,85,87.1,8,6,2,28.6,2,12,0,21,3,100
260,BEN JOHNSON,ENG,DF,DL,West Ham United,23,Promesa,544,0,0,0,0,9,1.49,7,0,0,0,2,1,0.17,417,119,4,0.01,0.29,417,25,44,1479,633,243,33,289,0,3,2,15,0,6,33.3,0.33,0,24.1,246,334,73.7,141,156,90.4,11,7,9,64.3,2,16,0,49,7,36.8
261,BRENNAN JOHNSON,WAL,DL,DL,Tottenham Hotspur,22,Promesa,2085,0,0.22,0.43,0.65,70,3.02,55,0,4,6,3,13,0.56,977,578,154,0.16,0.59,977,71,35.2,3904,2060,748,293,710,0,1,4,37,5,50,38,0.82,0.1,12.9,519,728,71.3,333,405,82.2,26,15,12,38.7,37,36,0,75,5,23.8
262,BRENNAN JOHNSON,WAL,DL,CC,Nottingham Forest,22,Promesa,237,0,0,0,0,7,2.66,3,0,2,1,1,3,1.14,85,34,9,0.11,0.4,85,7,28.6,372,205,52,14,55,0,0,1,2,0,3,0,0,0,19.7,47,61,77,25,29,86.2,4,1,2,50,4,4,0,11,1,33.3
265,CURTIS JONES,ENG,CC,CC,Liverpool,22,Promesa,1167,0,0.08,0.08,0.15,36,2.78,28,0,3,3,1,3,0.23,915,287,38,0.04,0.31,915,29,51.7,3297,1425,709,88,749,4,2,2,5,1,19,26.3,0.39,0.05,16.2,707,776,91.1,405,428,94.6,27,14,10,43.5,22,34,0,72,7,36.8
266,JORGINHO,ITA,CC,CC,Arsenal,31,Veterano,921,0,0,0.2,0.2,27,2.64,25,0,0,1,0,5,0.49,871,239,5,0.01,0.27,871,5,40,1941,945,671,8,759,5,1,8,5,0,4,0,0,0,24.6,699,785,89,360,380,94.7,24,10,11,47.8,17,36,0,49,7,50
267,DIOGO JOTA,POR,DL,DL,Liverpool,26,Maduro,1145,0,0.79,0.24,1.02,48,3.77,36,0,5,3,4,14,1.1,594,311,107,0.18,0.52,594,41,36.6,2104,1239,427,111,393,5,1,0,22,10,41,46.3,1.49,0.24,12.3,287,394,72.8,185,227,81.5,23,13,10,43.5,9,30,0,48,17,30.9
268,MADS JUEL ANDERSEN,DEN,DF,DF,Luton Town,25,Maduro,400,0,0.23,0,0.23,0,0,0,0,0,0,0,0,0,182,7,4,0.02,0.04,182,1,0,301,112,64,1,115,0,1,0,1,1,3,33.3,0.23,0.33,9.2,87,117,74.4,41,47,87.2,6,5,4,100,9,14,0,25,11,68.8
270,MATHIAS JØRGENSEN,DEN,DF,DF,Brentford,33,Veterano,1087,0,0.08,0,0.08,12,0.99,11,0,0,1,0,0,0,704,70,24,0.03,0.1,704,4,75,1222,758,372,4,526,1,0,3,11,1,8,25,0.17,0.13,14.2,446,593,75.2,227,262,86.6,17,12,11,57.9,9,29,0,67,26,53.1
271,ISSA KABORÉ,BFA,DF,DF,Luton Town,22,Promesa,1729,0,0,0.1,0.1,32,1.67,25,0,2,2,1,4,0.21,985,283,18,0.02,0.29,985,42,42.9,3134,1558,449,85,601,1,0,1,44,0,6,16.7,0.05,0,15.8,533,759,70.2,277,324,85.5,52,28,24,53.3,22,68,0,102,17,48.6
272,SASA KALAJDZIC,AUT,DL,DL,Wolverhampton,26,Maduro,166,0,1.08,0,1.08,5,2.71,5,0,0,0,0,0,0,88,24,7,0.08,0.27,88,1,100,143,48,68,9,59,0,0,0,0,2,4,50,1.08,0.5,11.2,38,60,63.3,22,33,66.7,6,2,1,50,3,7,0,4,8,66.7
273,BOUBACAR KAMARA,FRA,CC,CC,Aston Villa,23,Promesa,1652,0,0,0.05,0.05,38,2.07,33,0,0,2,1,3,0.16,1195,186,13,0.01,0.16,1195,30,46.7,3527,1663,880,10,994,6,8,1,13,0,5,20,0.05,0,16.7,922,1035,89.1,521,560,93,43,29,24,51.1,21,64,0,97,19,43.2
274,WILLY KAMBWALA,FRA,DF,DF,Manchester United,18,Filial,330,0,0,0,0,0,0,0,0,0,0,0,0,0,232,2,0,0,0.01,232,2,0,689,377,149,1,187,0,0,0,2,0,0,0,0,0,0,163,192,84.9,74,78,94.9,3,1,1,33.3,6,7,0,12,6,75
277,MICHAEL KEANE,ENG,DF,DF,Everton,30,Maduro,439,0,0.21,0,0.21,4,0.82,3,0,0,1,0,1,0.21,270,24,11,0.04,0.09,270,3,66.7,595,296,170,3,217,0,1,1,0,1,6,66.7,0.82,0.17,10.8,171,221,77.4,47,60,78.3,7,3,1,14.3,5,12,1,26,16,59.3
280,LLOYD KELLY,ENG,DF,DF,Bournemouth,24,Promesa,1559,0,0,0.06,0.06,29,1.67,24,2,1,0,1,3,0.17,1065,156,11,0.01,0.15,1065,4,50,2680,1451,572,28,771,1,10,6,19,0,4,25,0.06,0,8.6,673,906,74.3,234,277,84.5,24,19,14,56,22,37,1,121,28,60.9
282,MILOS KERKEZ,HUN,DF,DF,Bournemouth,19,Promesa,1970,0,0,0.05,0.05,32,1.46,25,0,0,4,2,4,0.18,1095,352,31,0.03,0.32,1095,27,44.4,3192,1617,538,93,677,1,3,2,20,0,16,31.3,0.23,0,19.3,613,844,72.6,322,375,85.9,47,26,30,71.4,31,67,0,93,18,36.7
284,MAX KILMAN,ENG,DF,DF,Wolverhampton,26,Maduro,3420,0,0.05,0,0.05,39,1.03,34,0,2,2,0,0,0,2706,133,30,0.01,0.05,2706,16,62.5,7276,4107,1877,5,2245,2,20,9,13,2,14,35.7,0.13,0.14,9.8,1979,2309,85.7,766,824,93,47,21,24,75,64,86,1,177,86,70.5
285,JAKUB KIWIOR,POL,DF,DF,Arsenal,23,Promesa,946,0,0.1,0.29,0.38,13,1.24,10,2,0,0,1,4,0.38,716,167,15,0.02,0.23,716,3,66.7,1264,681,462,16,550,1,1,2,2,1,6,33.3,0.19,0.17,13.8,523,625,83.7,270,303,89.1,20,12,14,73.7,11,28,0,35,15,57.7
286,JUSTIN KLUIVERT,NED,CC,DL,Bournemouth,24,Promesa,1916,0,0.33,0.05,0.38,59,2.77,37,0,9,6,4,5,0.23,694,397,108,0.16,0.57,694,67,35.8,2930,1644,442,114,399,0,3,4,19,7,56,35.7,0.94,0.13,17.4,288,421,68.4,147,194,75.8,28,14,8,26.7,16,36,0,88,12,35.3
287,LUCA KOLEOSHO,ITA,CC,DL,Burnley,18,Filial,974,0,0.09,0.09,0.18,28,2.59,12,0,11,2,3,6,0.56,416,240,52,0.13,0.58,416,78,42.3,2603,1383,313,82,267,0,0,1,16,1,23,21.7,0.46,0.04,18.5,192,274,70.1,126,153,82.4,7,4,2,20,13,9,0,46,2,6.9
288,IBRAHIMA KONATÉ,FRA,DF,DF,Liverpool,24,Promesa,1574,0,0,0,0,24,1.37,24,0,0,0,0,1,0.06,1622,80,16,0.01,0.05,1622,10,60,5747,3590,1162,3,1426,5,6,2,8,0,11,18.2,0.11,0,11.6,1286,1463,87.9,514,566,90.8,36,22,18,75,18,56,0,97,77,71.3
